policy,lifetime_mean,lifetime_std,mean_aoi_mean,mean_aoi_std,peak_aoi_mean,peak_aoi_std,total_energy_mean,total_energy_std,tx_rate_mean,tx_rate_std,stale_ratio_mean,stale_ratio_std,final_battery_mean,final_battery_std
TQ-IoT-Cheb(wE=0.0),11.47,0.5099,2.0903,0.0906,4.426,0.2455,101.574,0.6505,0.8757,0.037,0.0143,0.0064,2.136,0.5333
TQ-IoT-Cheb(wE=0.1),14.15,0.7732,2.3925,0.1535,5.374,0.4045,103.326,0.8646,0.651,0.0457,0.0191,0.0078,4.134,0.758
TQ-IoT-Cheb(wE=0.2),20.56,2.6037,3.3142,0.3637,7.594,0.9046,103.59,0.6605,0.3524,0.0693,0.0273,0.0146,4.54,0.4739
TQ-IoT-Cheb(wE=0.3),25.882,2.3733,4.14,0.2874,9.396,0.6571,103.256,0.9187,0.2091,0.024,0.0382,0.0114,3.654,0.8496
TQ-IoT-Cheb(wE=0.4),30.414,1.9882,5.1159,0.4244,11.356,0.6887,102.988,1.1152,0.1449,0.022,0.0618,0.0225,3.132,0.8348
TQ-IoT-Cheb(wE=0.5),37.462,4.2925,6.6472,0.3971,14.53,0.9463,102.926,0.8655,0.0993,0.0127,0.1742,0.0371,2.844,0.4966
TQ-IoT-Cheb(wE=0.6),43.912,5.5121,9.2561,1.0624,18.362,1.2252,103.024,0.6986,0.0677,0.0071,0.3677,0.0729,2.976,0.3426
TQ-IoT-Cheb(wE=0.7),49.208,4.7212,13.467,1.8685,19.98,0.0632,102.446,0.71,0.0337,0.0112,0.6353,0.1075,2.554,0.4785
TQ-IoT-Cheb(wE=0.8),74.516,9.7398,16.6512,0.7912,20.0,0.0,102.24,1.6692,0.0135,0.006,0.8106,0.0499,1.6,0.8952
TQ-IoT-Cheb(wE=0.9),98.01,1.3044,18.2546,0.0232,20.0,0.0,102.072,1.9914,0.0037,0.0043,0.9081,0.0012,1.838,1.8293
TQ-IoT-Cheb(wE=1.0),100.0,0.0,18.29,0.0,20.0,0.0,100.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0
TQ-IoT-WSum(wE=0.0),11.772,0.9112,2.1531,0.1801,4.562,0.5089,101.88,0.7687,0.8572,0.0667,0.0174,0.0091,2.62,1.2385
TQ-IoT-WSum(wE=0.1),14.072,1.3071,2.3439,0.2942,5.248,0.8143,103.654,0.7379,0.6894,0.0797,0.0215,0.0111,4.526,0.6646
TQ-IoT-WSum(wE=0.2),20.968,2.8213,3.1097,0.3654,7.414,0.8682,103.716,0.6594,0.4122,0.0777,0.0243,0.013,4.344,0.5195
TQ-IoT-WSum(wE=0.3),29.474,3.0577,4.0613,0.4377,9.656,1.0962,103.612,0.7451,0.2441,0.0402,0.0391,0.0154,4.108,0.4404
TQ-IoT-WSum(wE=0.4),37.57,3.9039,5.1873,0.6614,12.222,1.713,103.51,0.8713,0.1578,0.0262,0.081,0.0445,3.45,0.6871
TQ-IoT-WSum(wE=0.5),45.732,3.5576,6.5822,0.6047,14.902,1.0181,103.598,0.8039,0.1103,0.0147,0.1693,0.0479,3.142,0.5902
TQ-IoT-WSum(wE=0.6),59.726,7.0882,10.6118,1.9031,19.18,1.2094,103.582,0.8152,0.0614,0.0132,0.4525,0.1158,3.088,0.3831
TQ-IoT-WSum(wE=0.7),73.58,9.1303,14.7981,1.805,20.0,0.0,102.704,0.8554,0.0284,0.0121,0.704,0.1028,2.296,0.6179
TQ-IoT-WSum(wE=0.8),91.624,4.039,17.2487,0.7608,20.0,0.0,102.524,1.4987,0.012,0.0054,0.8462,0.045,2.106,1.278
TQ-IoT-WSum(wE=0.9),96.806,3.631,18.0085,0.5363,20.0,0.0,101.284,1.6169,0.0043,0.0051,0.8925,0.0339,1.146,1.1231
TQ-IoT-WSum(wE=1.0),99.858,0.449,18.2875,0.008,20.0,0.0,100.05,0.1581,0.0,0.0,0.9099,0.0004,0.06,0.1897
always_sleep,100.0,0.0,18.29,0.0,20.0,0.0,100.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0
always_transmit,10.0,0.0,2.039,0.0887,4.02,0.1535,100.0,0.0,1.0,0.0,0.0034,0.0019,0.0,0.0
always_wait,20.0,0.0,11.45,0.0,20.0,0.0,100.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
aoi_threshold_5,27.506,0.8867,4.0714,0.134,8.308,0.3161,103.412,0.4553,0.3342,0.0144,0.0308,0.0081,3.168,0.3689
energy_aware,45.532,0.5767,10.1957,0.3094,20.0,0.0,100.0,0.0,0.1366,0.0035,0.4391,0.0185,0.0,0.0
periodic_tx_5,16.668,0.0103,4.6632,0.2149,9.276,0.4746,100.0,0.0,0.2009,0.0008,0.0708,0.0174,0.0,0.0
random,19.106,0.4828,4.4678,0.4234,9.74,0.7378,103.528,0.3766,0.3565,0.0202,0.0871,0.0273,3.462,0.5185
