lifetime,mean_aoi,peak_aoi,total_energy,tx_rate,pkt_success,stale_ratio,final_battery,param,value,seed
40.65,13.0214,19.9,102.6,0.05628500000000001,0.05628500000000001,0.6144499999999999,1.65,tx_success_prob,0.5,0
55.8,14.848489999999998,20.0,102.1,0.037575000000000004,0.037575000000000004,0.71621,1.4,tx_success_prob,0.5,1
41.2,11.918035,19.5,104.95,0.09901,0.09901,0.5397099999999999,3.3,tx_success_prob,0.5,2
41.6,10.380759999999999,18.7,104.4,0.09285,0.09285,0.45450999999999997,2.85,tx_success_prob,0.7,0
41.9,12.865465,20.0,103.65,0.08453,0.08453,0.59892,1.85,tx_success_prob,0.7,1
46.4,15.548135000000002,20.0,102.65,0.037625,0.037625,0.763115,3.6,tx_success_prob,0.7,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,tx_success_prob,0.9,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,tx_success_prob,0.9,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,tx_success_prob,0.9,2
47.65,13.91515,20.0,101.95,0.06637,0.06637,0.6680949999999999,2.05,tx_success_prob,1.0,0
53.2,14.252524999999997,20.0,103.45,0.03575,0.03575,0.6911299999999999,2.55,tx_success_prob,1.0,1
55.15,14.543545,20.0,100.0,0.027390000000000005,0.027390000000000005,0.70547,0.0,tx_success_prob,1.0,2
32.05,12.920160000000001,20.0,51.5,0.026930000000000003,0.026930000000000003,0.6138899999999998,1.5,battery_cap,50.0,0
23.65,9.04125,16.1,54.8,0.08515,0.08515,0.37938999999999995,2.2,battery_cap,50.0,1
23.7,10.885465,18.3,53.4,0.041755,0.041755,0.49683,2.85,battery_cap,50.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,battery_cap,100.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,battery_cap,100.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,battery_cap,100.0,2
48.15,14.21044,20.0,156.45,0.04815000000000001,0.04815000000000001,0.6784450000000002,3.55,battery_cap,150.0,0
70.35,17.534309999999998,20.0,152.95,0.005625,0.005625,0.87022,2.8,battery_cap,150.0,1
80.95,16.07507,20.0,153.4,0.020685000000000002,0.020685000000000002,0.772295,1.6,battery_cap,150.0,2
61.7,14.62972,20.0,202.45,0.02343,0.02343,0.705945,2.05,battery_cap,200.0,0
61.3,10.529975,19.6,205.05,0.05508500000000001,0.05508500000000001,0.48378499999999997,2.7,battery_cap,200.0,1
55.6,10.473375,19.7,203.15,0.052275,0.052275,0.4676,1.6,battery_cap,200.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,energy_transmit,5.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,energy_transmit,5.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,energy_transmit,5.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,energy_transmit,10.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,energy_transmit,10.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,energy_transmit,10.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,energy_transmit,15.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,energy_transmit,15.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,energy_transmit,15.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,energy_transmit,20.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,energy_transmit,20.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,energy_transmit,20.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,aoi_threshold,3.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,aoi_threshold,3.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,aoi_threshold,3.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,aoi_threshold,5.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,aoi_threshold,5.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,aoi_threshold,5.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,aoi_threshold,10.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,aoi_threshold,10.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,aoi_threshold,10.0,2
34.85,8.077135000000002,16.35,101.15,0.080495,0.080495,0.286035,1.6,aoi_threshold,15.0,0
42.2,8.867755,17.6,101.95,0.0733,0.0733,0.35557500000000003,2.05,aoi_threshold,15.0,1
54.9,13.518134999999997,19.95,104.85,0.051324999999999996,0.051324999999999996,0.653915,4.65,aoi_threshold,15.0,2
